,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,intercept
A,2.6836207979761224,3.296939910695565,3.002334418226043,-0.13334578010540216,4.197485766313523,-0.9283934154554145,0.6349653677851357,-2.3263745734720773,10.311402630897568,4.382930637130517,-14.413380568282935,19.867251790609682,3.6012091927697707,-50.33515484607288,22.489792665622375,-4.089504821552046,4.608571818758899,-2.450139765217028,-3.818624224976894,2.466839787596954,-11.020779614067306,-3.0104565948653734,12.793105706482255,-2.1264379641598943,1.8491432934924754,21.85064932341099,23.87452668003302,-2.9584711975833184,1.9281743976149588,-0.01376343976696649,-3.1101194228757794,-0.323707543223458,-10.231158069522602,2.652575576035779,7.604977066483498,-9.563984799767574,4.5514008804544765,14.241215699176061,3.7700093582897027,-4.117167234016357,-2.8803450570820806,1.974629103584609,1.4296517223695373,-6.473562462252107,-4.055052081914772,1.4301879703880893,-0.2057890300228448,-8.96340142199144,1.2563547465306177,6.317101219331196,-3.7088300504406067,-4.489912356217948,-6.644550446320195,3.8708909737963353,-1.6083089034545133,-14.525839814182119,-5.6447759260954005,1.658804991487754,3.521290062421866,-14.02193261906401,2.3225540540595357,23.9638199784498,-3.8761014376963527,0.20723775398140112
B,-0.5364255752655503,11.815623817722994,0.741115935875223,0.9020976292214995,12.052926325577893,0.5217930695373948,2.3419770351366,12.207365773051325,-4.525477952866605,2.1325012337953537,10.194861084658823,-12.668649169174321,-5.093006719062334,14.547592679107838,-16.44493255313934,5.549219509806448,6.722919174439485,0.27764302682860886,4.0222800949293775,2.257087615162123,2.8120400039336735,1.31066802818014,-8.446971786222486,3.3469166455061,-2.6003216161712674,-22.719664148899845,1.1462587534413398,4.387760621576203,4.983886208149927,0.4085969043833772,2.7892751042032056,3.731296656428049,1.8810960930905958,-0.2305069247714875,-6.118436127939772,1.8272140966206916,-2.326198889482028,-15.998440294177046,-1.4630529679460067,1.8709320115333787,4.904407819534793,-0.7812024189829081,3.1662686180595294,1.7225410754430892,2.526942659113521,0.1562539894148644,-10.506499356434714,2.2067724581124546,-2.0787587391965237,-24.42997659338749,0.14656073800255062,1.2944864392380613,6.730451536675021,-2.3613190929183143,1.4119300043729435,-0.09597064327708368,3.0659811032797806,0.3235318090361487,-14.81884448864182,3.871524661333639,-1.9352979164874173,-34.01507161581856,-0.06252708449167968,-4.380105502665605
C,3.692299177356339,-9.897077891015876,-2.194662848308427,-3.5799054168010307,1.9240920409730966,2.7265369454882533,-6.832636253726778,13.204010711391014,5.763752046962192,-5.331380864633813,27.222963107579133,10.194422516995358,3.448687520904404,38.51341032582065,13.33794437960617,-4.8198121139966945,1.0290800194708347,-0.6694170049189948,-2.04770183626602,4.3597930091191115,8.0559005335615,0.0010043236927685137,2.7200763183443226,10.429557282623792,4.89466347936426,-0.27745928658384506,7.718384589120169,-1.4268704251128295,-2.6573113071526864,-1.0197955028517478,-0.47370542810804495,1.2441116178893858,5.80534248362657,2.5667540771232438,-2.8954096884778373,4.581563189263833,9.185639295957726,-2.603677834318787,-2.7535439951778744,-0.7203827823739767,-5.356254515042212,-0.7192796494016197,-0.29330000740560275,-2.9592400443863935,2.39726557320919,0.9545466536360548,-11.090420584528616,1.1408776947753347,3.5527744338917344,-18.10811178328815,-2.146523285462642,2.672255805328567,-7.437458595417472,0.7269345943075215,2.707823787664117,-3.3231612342847545,1.3351871566789504,-0.901122342697601,-9.96707841363186,-1.054429217723298,0.1766713119648741,-15.372983523612096,-2.779626295274651,1.0908889795510766
D,0.08984933742551897,11.837784140568216,5.856780460537187,2.246952516486208,11.493548514991142,7.692798881305865,7.203542645885169,12.286901261349247,4.205622759919147,6.142135838808394,13.662297506046585,1.9271119263787122,-3.2264727105142286,11.880950308815608,14.031677473481578,-4.195192648876362,-4.717996491637794,4.266808599760124,-0.6996174389376013,-6.2328338787904345,8.381614987131632,4.841134736294279,-15.479653534129827,10.3106976481055,5.172987396416271,-34.83695545322778,9.22432137194894,-6.424681601482597,-3.2284860850349517,-0.45055683724127515,-8.896171683787914,-2.2861409490787574,1.645085548978515,-7.665395580248807,5.363150181033199,0.5249330545093877,-10.06415436339612,17.21206323272893,-9.001869145217189,-4.541728755522411,-1.579854626897992,-4.31117124645013,0.5479221262799169,-1.543908619801536,5.265805101756257,9.449038308704113,1.917657712242482,7.090181936755647,12.798660404733734,11.688430388794503,1.824007931857388,-1.3250643388498418,2.9040791778871364,-4.6991587977405525,-3.465839181080816,-4.484445457149058,-0.46766943694663443,1.9476610813715796,-16.87729781096994,4.9346651034538604,4.998212414023944,-21.356147666564166,2.8222519145236724,-1.269304369622242
E,-2.59935845894848,11.800317320724226,2.373989692412899,0.3118577630824921,9.58017636652533,1.1532206532517073,3.2566973247942173,11.225727773486312,-0.36667970786863785,-1.4466879029907367,7.770659111590703,-11.583012266121472,-11.142801355369999,24.836738166169237,-13.04495611665099,4.693900939926222,0.2868130683333181,1.7867002165436996,2.3744059293522684,-7.780484503754029,-0.8775363626834688,0.4487836611166395,1.6738555341525165,-9.223842709483616,-0.3031514719321741,27.310060884386914,-1.0238490764495254,2.494159684706092,-1.8744237147918494,2.31781714668124,1.4469507376002715,-17.356514532424605,0.5220432840483531,-0.9830909318640352,-8.902260995890556,-6.558886546562536,-2.6322449176668083,10.368209368343509,-4.947915679707746,0.4826906298584887,-2.5634601439654605,1.7887958605944962,-0.7005079556228949,-21.616801468798297,3.128826384507386,-0.18750897260754193,-20.162718541929845,-7.183336931576528,-2.5492211789757016,-2.79721155474232,-10.918014087859964,-1.137996552895729,-0.18766420537252454,0.3709227670539098,-3.940163107920957,-16.13822656991373,4.651305882563833,-0.7622687433961889,-12.963615062906536,-5.793393061823693,-0.5233127690106935,10.780299879201888,-10.66292112860502,-2.7136258982008536
F,7.290061190902618,3.962837170883141,-4.671121957959911,4.055368380594092,1.6389391719807285,0.7203163792002404,1.8591263986189688,1.3043044694037125,2.824963949896883,0.41661764489607506,1.161059179834239,7.618654179086367,5.2272042510498355,-7.409093857311702,6.543459812308807,-0.9841706818623107,3.5190674036125995,3.1634627143181446,-0.5732651938770543,8.581540231042514,-4.6130675857905805,-2.493929985274472,17.732917761755864,-9.412405764947144,-0.3633599804512673,31.143907102481897,-19.574085288739937,0.11192274384704165,4.711142656566285,0.04414356720214062,0.42508927747452907,-0.05641166429423398,1.3786096207244523,2.121111735142266,-10.54329656549887,-3.0088510839691085,5.214576506932212,-20.796973096435313,-13.854646106640947,1.5569118884745055,6.5317877987619335,-2.1035849208194533,-2.6474261502822434,-3.5358412589140733,3.7626760992197963,-2.986718963634294,-20.194670098541387,1.628510242862906,0.28266547663411734,-38.41023707488277,-8.144998108500385,3.114227763617941,6.012358500175301,-3.536315376177435,-0.6382898958289372,5.849187259252717,-0.9949122255835972,-3.0258011276602375,-3.1868883786364304,0.1518230677305785,-1.4519086618173516,-16.832736873029877,-6.664500825627973,-1.1196001968560396
G,0.07260795124242804,-1.3510576751725498,2.429873346147562,3.486715535665003,-10.49923118008223,-0.531165365394452,4.90275347952365,-16.406802383521917,1.3396255616229094,1.2146091697232493,-19.527488765753585,1.9103331499239904,-1.441227848739502,-21.290877601183634,3.5636131163595177,2.461530557217886,-8.207864985225292,-1.4336376713352175,-2.696836980402492,2.1100140569647072,4.643090690519147,-9.23983581545123,-1.0721009910136865,0.8306157273069984,-13.006218739905677,-10.233459840995856,-15.614119414247739,-1.2362104208236142,0.7741662539536629,0.7812151388123265,-1.9973007437374373,5.060510724391107,4.486564577928269,2.772033742757864,7.574169604875295,13.803546599372067,9.392656277854016,4.95343879937759,16.09869903726332,-1.9569681994981396,3.758772647832932,0.7664075514679167,-0.5812595259377298,8.97899406909021,4.0232358422450565,2.212150318034358,6.478487355781458,7.65600658238112,6.893790670558392,6.997179423340142,7.518384115321971,-1.9504735167561782,10.386662663469732,2.246970342808539,-1.740618849908491,15.866740303219869,4.197413902688547,2.6135033516800417,12.175907314822014,4.721587754306491,2.8936899888198067,12.399061002054086,1.963527062971096,2.3487066400740177
H,4.084691032239325,-8.88078667550247,-6.243465568786187,5.304661794377758,-20.590955607915994,0.016635713909593203,1.749578018869196,-19.001769634089005,3.1873644833862196,0.934717926229902,-5.402054494662721,4.9841188717069755,-4.069780431094228,10.254895022746071,1.026483755847017,3.488892955407996,-11.256601789152311,2.1714355169263806,-0.8317988018129826,-8.48312540997495,6.976959365592882,-3.427659605918299,-7.932876996518181,8.661576267943953,-2.8187836300424185,-5.288738750962759,9.376493376123234,2.1641573317895104,1.336376202775844,-1.4762546172085937,-1.1852342477512021,5.888526346331332,6.838494500176432,-8.752671309200544,-6.268887498401856,0.8568376760535701,-13.154178338549476,-11.752320817441666,-12.543308377408335,1.8978765024194342,12.409472872344132,-2.8025461069069317,-0.03299562089994345,13.454999399404675,5.599674498670227,2.5718257480250366,4.840447468875864,6.887416987190192,5.253855458082656,-1.5475009284691987,3.0689376242315776,0.5535414880721469,18.25407802985365,-3.4607781284853463,1.945421334991644,19.076928957697536,0.592901149990055,6.004529134675686,12.654600903422228,7.461478004804916,8.44021076262277,6.981406985215233,11.114472869116991,2.712871523366813
I,1.8589966786433612,7.445555453407023,-3.812422472246856,2.8218469745253576,7.599459384176501,-2.519139060105972,-0.0010928970410268935,4.006572698732134,-2.606454696117678,-5.209191528980559,-1.9582065265628312,-7.795117311700024,-3.1354859284706507,-2.4652477654112057,-12.73195805750739,8.331947396860869,6.128200107799051,2.350090121514335,2.589415639426597,4.075620020937337,-2.4630682377086313,-1.5037672065389018,9.081975568437011,-2.097872537673984,-3.0645543122643013,10.586813775317754,0.510293981621728,6.826564590797027,1.7714974098366207,0.5705765476440704,-0.12667592019600762,3.0757011441146958,-3.61672080086384,-4.41937742045017,8.692674382307125,-2.559936886245449,-1.2126096416978904,11.114288830189068,2.2609222082877607,3.8179499531268952,-1.2780227798556185,-1.8027322571305948,-2.5231108755580043,0.8326164368252005,-6.626858379844371,-4.361400357301034,7.433557376464206,-5.442021097590162,-1.5316787185145069,11.8492986258241,-3.0734243217424635,1.519454234876761,-3.1463425398290408,-4.177734411354797,-0.9273991253449838,-11.209283042892755,-1.010232222368522,-3.9874947615155625,-28.95549561886359,3.561447471624747,-5.296880618388175,-48.47050258913755,-2.844509011985667,-0.6064061985019124
J,3.946899223283984,1.9352150244133732,0.955951831496806,2.6320721171462917,-15.172831724898186,0.1968769000743658,0.2638910067257478,-20.65892719761758,0.12452470620225811,-5.702160838006623,-10.776169982019844,-3.687415867474259,-3.733557129351393,22.87045470403288,-1.3309280054006978,0.13402916348296828,-12.550330430078239,1.7708318381027937,-1.5820676582649629,-8.349105511754304,-5.574037651279438,0.29898070366744794,4.648519218674943,-0.31595036407782356,2.1486221588919547,11.27613578715827,11.348052747505614,-0.6442567898332544,-0.6692427307637727,0.5009748568850714,-0.24050908816569555,0.8908126858083951,-5.614792497103597,0.3912928030298159,5.068081332998113,2.466899989058392,1.8150233205646644,0.42230936850361556,8.117564375753032,0.4969202298735723,11.23037988988167,-1.1277174984426537,0.6026304763792132,8.85226685751378,-4.353449951406365,0.6645735259791506,3.912185859829988,-6.505875852473981,4.741951643072868,-0.9257445575515084,-12.302423942887504,1.441860725185928,18.50626550356924,-3.8845257640055495,-1.2630905168714943,19.707718829528538,8.242381251493347,-5.658230110767509,0.9252642058233345,8.86252293173405,-4.650380299134584,-21.982431310784214,-13.210156298629437,3.049801634710171
K,1.7343247781939892,4.537688035848958,-8.217055755203386,-1.608108502458463,2.051463165292507,-9.423059272524121,-5.315636094960798,-7.720637658247118,-8.398439141494284,-4.660042127842377,-13.624078835153753,4.268726800341586,11.607883393935273,-42.90431255256994,8.744009777036078,1.0911651326344656,4.462314767066705,-4.971375688234847,4.635805295627917,2.2251337505392343,-1.366359491921565,12.323055947343983,-4.290294764053363,2.055220141727658,18.162638333080224,-20.85484519923249,3.920094241263059,2.119552634806129,5.672821280736124,0.272493564612698,-9.620879689330353,4.818230908006824,6.872909378866565,-8.931201906258732,-12.659739982477495,1.1655019541752853,-12.738130995465413,-27.667450807341336,-5.045066129367623,1.9940523510810582,7.9868962536783945,2.318168754489233,-0.13720773878008918,8.017116999565985,2.4309152361639548,0.3347468096138971,14.321752122414557,-3.315173502045794,0.2614500886015962,17.800934302278453,-8.361818471763758,-0.003300678384128085,6.196193440887468,5.571595111070299,-2.2255298246983495,6.592758170747103,3.5070554675541565,-3.4871425133352205,11.431093922680237,0.424651634027475,0.9160891739531309,12.863264465075694,7.546180129494961,-2.3136842160492233
L,-7.496550769642,-7.927789837744709,11.431963411466102,-7.898130958052202,-1.0363756427979025,-3.21524768989457,-6.097485724154951,8.64363497509274,2.888046999280803,2.6839074222249177,11.603462347552115,15.108758545957045,12.640115160469387,10.443300442565395,20.127780307965644,-1.0234173074639537,4.108490285056082,-11.140853307025443,-1.8391370283023225,-7.795250303265262,-3.985882624981971,-3.1669119701244153,-22.911469814567706,1.3053930684095671,-1.7614894161041288,-49.11927336459567,-1.8755365714774621,-0.6036292024119101,1.1531269831761473,-1.9926590905290376,4.126824286917185,3.409989676452973,-12.07150309188625,2.4818460043301203,15.578013383592541,-11.026959834526398,1.4771749499761944,24.468479834631527,1.3572939684871463,0.17413644178001167,-4.584704863928659,7.9427278026529,1.3780596741432711,-0.6202667267971372,1.1569029694418003,0.5363738794789474,5.961148097333718,-1.9151054916064931,1.6919843612108123,10.659855616710548,1.6716475874966759,-1.3637291289659808,-7.289379953688006,15.450949746591293,4.137376178770904,-11.735020802135178,9.825335039427136,5.309816264569236,-2.190428239994833,-0.12939264280321497,0.07410521029113572,10.872255242879925,-1.8357665785710733,-0.9915672040909499
